z,rhoH2_rhoHI
0.0313172724904361,0.08746138570167689
0.07609932676091095,0.10187968887908191
0.12115561283953326,0.11643590026478363
0.1615773813604638,0.1334744593998233
0.21524454621491546,0.14905119152691954
0.26962471377055014,0.16696546778464244
0.3083736682617817,0.18008743380406006
0.34887770632515663,0.19911187113856998
0.38905266621875495,0.2123165820829655
0.417901852435864,0.23032739408649597
0.4685524674006937,0.24386998014121794
0.5090839286448838,0.26379771624007053
0.567769535588433,0.2804570278022947
0.5929714387571814,0.2973576787290378
0.6358338703706244,0.3161545675198587
0.6860182912616033,0.3305039165931156
0.7232315476272094,0.3428122241835833
0.7620079252992555,0.3623331310679611
0.8002358393550072,0.37846149602824364
0.8483635216848803,0.394789827890556
0.9127805734187108,0.40825656443071484
0.9747569620600297,0.42339888570167694
1.0412307523549655,0.4371276478375993
1.1264071519655567,0.44352658870255957
1.206208608136458,0.44454710944395404
1.2948403285297065,0.43941002868490736
1.3633708573857484,0.43127344439541043
1.4413075372612474,0.41980637687555167
1.5130465782726144,0.4062775816416593
1.581275452139694,0.39607926963812884
1.6391657868396161,0.3815299536628419
1.691681178099848,0.37231768534863197
1.746664655633407,0.3610988526037069
1.807873195211913,0.34388790820829646
1.8712755892555981,0.3281732678729037
1.9380510345394968,0.3143962378640776
1.9873304904635893,0.299998620917917
2.049169763200834,0.2897382502206531
2.1159177853039175,0.2793123896734333
2.1806913383883395,0.2651078442188878
2.2419547243284748,0.2492897727272727
2.3139954203288045,0.23576787290379514
2.392041792927562,0.223556101059135
2.463424332588337,0.2115580869373344
2.546543993637823,0.1994083737864076
2.614032441622904,0.1891411076787289
2.701347849337045,0.17979782656663718
2.799248604845677,0.16521403353927613
2.883766848116714,0.15509846646072348
2.965981544199312,0.1467826015004413
3.0380222401996413,0.13520520741394523
3.1200175508357226,0.1315437444836715
3.22038639261768,0.11966295233892303
3.319521191262975,0.11549812444836688
3.410895229737698,0.11006454104148261
3.5070409016741864,0.1021692961165048
3.614100999574941,0.09890087157987629
3.7101095556073553,0.09024023609885262
3.81843111982559,0.08336551191526917
3.914055751326597,0.07749751765225057
4.020512539249428,0.07478762135922311
4.140818033483704,0.06751985878199461
4.251086643539785,0.06214143865842879
4.352003948938038,0.05625965357458071
4.497401653617803,0.057328442188878934
4.622259395867328,0.05342563989408636
4.726632022048237,0.05003999338040571
4.813316696603639,0.04783346204766099
4.909709177167461,0.04336523609885231
5.050335248385461,0.04333075904677825
5.148318273436537,0.03986926301853459
5.2435041340445085,0.03986926301853459
5.3372365660693,0.03640087157987634
5.465796437728813,0.034304666813768696
5.619092018483225,0.033146237864077485
5.71973509207333,0.03217398499558684
5.816676036253446,0.029464088702559527
5.816676036253446,0.029464088702559527
5.911944166403862,0.029464088702559527

